StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
Taker,2021-Nov-05 13:31:01.743644,MSFT,100,337.490000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081169,,FILL
Taker,2021-Nov-05 13:31:02.096240,MSFT,-100,337.490000,0.875978,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081170,,FILL
Taker,2021-Nov-05 13:31:42.676598,MSFT,100,337.530000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081172,,FILL
Taker,2021-Nov-05 13:31:44.089235,MSFT,-100,337.590000,0.876202,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081173,,FILL
Taker,2021-Nov-05 13:31:46.098978,MSFT,25,337.710000,0.030000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081174,,FILL
Taker,2021-Nov-05 13:31:46.099078,MSFT,75,337.710000,0.090000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081174,,FILL
Taker,2021-Nov-05 13:37:34.997284,MSFT,-50,337.640000,0.438157,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081175,,FILL
Taker,2021-Nov-05 13:37:48.137005,MSFT,50,337.620000,0.060000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081177,,FILL
Taker,2021-Nov-05 13:37:53.278868,MSFT,-50,337.540000,0.438045,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081178,,FILL
Taker,2021-Nov-05 13:37:53.278884,MSFT,-50,337.540000,0.438045,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081178,,FILL
Taker,2021-Nov-05 13:37:55.451465,MSFT,50,337.610000,0.060000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081179,,FILL
Taker,2021-Nov-05 13:37:55.452232,MSFT,50,337.610000,0.060000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081179,,FILL
Taker,2021-Nov-05 13:38:15.947656,MSFT,-100,337.640000,0.876314,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081180,,FILL
Taker,2021-Nov-05 13:38:41.545816,MSFT,100,337.750000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081182,,FILL
Taker,2021-Nov-05 13:38:43.889132,MSFT,-100,337.740000,0.876538,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081183,,FILL
Taker,2021-Nov-05 13:39:02.765003,MSFT,34,337.960000,0.040800,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081184,,FILL
Taker,2021-Nov-05 13:39:02.846216,MSFT,2,337.960000,0.002400,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081184,,FILL
Taker,2021-Nov-05 13:39:02.878104,MSFT,64,337.960000,0.076800,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081184,,FILL
Taker,2021-Nov-05 13:39:04.071028,MSFT,-100,337.990000,0.877098,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081185,,FILL
Taker,2021-Nov-05 13:39:08.983849,MSFT,-100,337.690000,0.876426,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081186,,FILL
Taker,2021-Nov-05 13:39:55.912334,MSFT,100,337.700000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081187,,FILL
Taker,2021-Nov-05 13:40:00.650778,MSFT,-100,337.620000,0.876269,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081188,,FILL
Taker,2021-Nov-05 13:40:01.443993,MSFT,4,337.530000,0.004800,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081189,,FILL
Taker,2021-Nov-05 13:40:01.445275,MSFT,96,337.530000,0.115200,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081189,,FILL
Taker,2021-Nov-05 13:43:49.340471,MSFT,100,336.300000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081194,,FILL
Taker,2021-Nov-05 13:45:03.571236,MSFT,-100,336.270000,0.873245,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081195,,FILL
Taker,2021-Nov-05 13:45:06.511396,MSFT,100,336.380000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081196,,FILL
Taker,2021-Nov-05 13:45:16.359184,MSFT,-100,336.420000,0.873581,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081197,,FILL
Taker,2021-Nov-05 13:48:54.965563,MSFT,-100,336.870000,0.874589,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081202,,FILL
Taker,2021-Nov-05 13:48:57.407269,MSFT,200,336.870000,0.240000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081203,,FILL
