Name,Time,Cumulative PnL
Taker,2021-Nov-05 13:30:15.139750,0.000000
Taker,2021-Nov-05 13:31:15.443010,-0.995978
Taker,2021-Nov-05 13:32:16.104249,-76.112179
Taker,2021-Nov-05 13:33:16.192034,-86.112179
Taker,2021-Nov-05 13:34:16.338695,-81.112179
Taker,2021-Nov-05 13:35:17.127595,-36.112179
Taker,2021-Nov-05 13:36:17.538263,-61.112179
Taker,2021-Nov-05 13:37:18.667333,-34.112179
Taker,2021-Nov-05 13:38:19.463311,-11.482739
Taker,2021-Nov-05 13:39:19.679344,-1060.352800
Taker,2021-Nov-05 13:40:21.656962,-5.469069
Taker,2021-Nov-05 13:41:21.803145,-5.469069
Taker,2021-Nov-05 13:42:23.221569,-5.469069
Taker,2021-Nov-05 13:43:24.178003,-5.469069
Taker,2021-Nov-05 13:44:24.859017,-20.589069
Taker,2021-Nov-05 13:45:25.328072,-6.455894
Taker,2021-Nov-05 13:46:25.714212,-6.455894
Taker,2021-Nov-05 13:47:27.610642,-6.455894
Taker,2021-Nov-05 13:48:28.246801,-6.455894
Taker,2021-Nov-05 13:49:29.183358,-306.570483
Taker,2021-Nov-05 13:50:30.206939,-306.570483
Taker,2021-Nov-05 13:51:32.627265,-306.570483
Taker,2021-Nov-05 13:52:33.726708,-20.570483
Taker,2021-Nov-05 13:53:36.184675,-30.570483
Taker,2021-Nov-05 13:54:38.887246,-306.570483
Taker,2021-Nov-05 13:55:44.430216,-68.570483
Taker,2021-Nov-05 13:56:46.193268,-306.570483
Taker,2021-Nov-05 13:57:48.993261,-40.570483
Taker,2021-Nov-05 13:58:50.410395,-306.570483
Taker,2021-Nov-05 13:59:50.991524,23.429517
Taker,2021-Nov-05 14:00:51.945999,48.429517
Taker,2021-Nov-05 14:01:58.926398,18.429517
Taker,2021-Nov-05 14:03:00.013552,68.429517
Taker,2021-Nov-05 14:04:00.321342,74.429517
Taker,2021-Nov-05 14:05:01.623569,54.429517
Taker,2021-Nov-05 14:06:02.990870,31.429517
Taker,2021-Nov-05 14:07:04.525399,46.429517
Taker,2021-Nov-05 14:08:06.238033,-306.570483
Taker,2021-Nov-05 14:09:09.531158,-306.570483
Taker,2021-Nov-05 14:10:10.866748,-4.570483
Taker,2021-Nov-05 14:11:12.989516,-3.570483
Taker,2021-Nov-05 14:12:13.626585,2.429517
Taker,2021-Nov-05 14:13:15.352051,-44.570483
Taker,2021-Nov-05 14:14:16.658637,8.429517
Taker,2021-Nov-05 14:15:18.444958,-44.570483
Taker,2021-Nov-05 14:16:19.721242,29.429517
Taker,2021-Nov-05 14:17:20.749465,47.429517
Taker,2021-Nov-05 14:18:21.023561,35.429517
Taker,2021-Nov-05 14:19:24.610808,37.429517
