StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:39.010000,CANCELLED,CANCEL,MSFT,SELL,LIMIT,DAY,346.130000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081112,,,
Toy,2021-Nov-05 13:30:40,2021-Nov-05 13:31:01.743644,FILLED,FILL,MSFT,BUY,LIMIT,DAY,337.490000,100,0,100,0,337.490000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081113,,,
Toy,2021-Nov-05 13:31:06,2021-Nov-05 13:31:09.886263,FILLED,FILL,MSFT,SELL,LIMIT,DAY,337.690000,-200,0,-200,0,337.690000,1.752851,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081114,,,
Toy,2021-Nov-05 13:31:38,2021-Nov-05 13:31:42.676598,FILLED,FILL,MSFT,BUY,LIMIT,DAY,337.530000,200,0,200,0,337.530000,0.240000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081115,,,
Toy,2021-Nov-05 13:31:57,2021-Nov-05 13:32:28.010000,CANCELLED,CANCEL,MSFT,SELL,LIMIT,DAY,337.540000,-200,0,-67,-133,337.540000,0.586980,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081116,,,
Toy,2021-Nov-05 13:32:29,2021-Nov-05 13:32:31.156751,FILLED,FILL,MSFT,BUY,LIMIT,DAY,337.150000,67,0,67,0,337.150000,0.080400,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081117,,,
Toy,2021-Nov-05 13:33:00,2021-Nov-05 13:33:45.010000,CANCELLED,CANCEL,MSFT,SELL,LIMIT,DAY,337.090000,-200,0,-50,-150,337.090000,0.437541,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081118,,,
Toy,2021-Nov-05 13:33:46,2021-Nov-05 13:33:57.010000,CANCELLED,CANCEL,MSFT,BUY,LIMIT,DAY,336.000000,50,0,0,50,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081119,,,
Toy,2021-Nov-05 13:33:58,2021-Nov-05 13:34:01.975390,FILLED,FILL,MSFT,SELL,LIMIT,DAY,336.790000,-150,0,-150,0,336.790000,1.311614,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081120,,,
Toy,2021-Nov-05 13:34:12,2021-Nov-05 13:34:13.121836,FILLED,FILL,MSFT,BUY,LIMIT,DAY,336.840000,200,0,200,0,336.840000,0.240000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081121,,,
Toy,2021-Nov-05 13:34:31,2021-Nov-05 13:35:00.667558,FILLED,FILL,MSFT,SELL,LIMIT,DAY,336.890000,-200,0,-200,0,336.890000,1.749267,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081122,,,
Toy,2021-Nov-05 13:35:01,2021-Nov-05 13:36:00.682288,FILLED,FILL,MSFT,BUY,LIMIT,DAY,336.930000,200,0,200,0,336.930000,0.240000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081123,,,
Toy,2021-Nov-05 13:36:01,2021-Nov-05 13:36:04.886844,FILLED,FILL,MSFT,SELL,LIMIT,DAY,336.910000,-200,0,-200,0,336.910000,1.749357,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081124,,,
Toy,2021-Nov-05 13:36:17,2021-Nov-05 13:36:49.656107,FILLED,FILL,MSFT,BUY,LIMIT,DAY,337.010000,200,0,200,0,337.010000,0.240000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081125,,,
Toy,2021-Nov-05 13:36:50,2021-Nov-05 13:36:50.172263,FILLED,FILL,MSFT,SELL,LIMIT,DAY,337.040000,-200,0,-200,0,337.040000,1.749939,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081126,,,
