Name,Time,Cumulative PnL
Toy,2021-Nov-05 13:30:15.139750,0.000000
Toy,2021-Nov-05 13:31:15.443010,18.127149
Toy,2021-Nov-05 13:32:16.104249,13.510169
Toy,2021-Nov-05 13:33:16.192034,0.912228
Toy,2021-Nov-05 13:34:16.338695,-4.639386
Toy,2021-Nov-05 13:35:17.127595,-58.388654
Toy,2021-Nov-05 13:36:17.538263,-39.378010
Toy,2021-Nov-05 13:37:18.667333,-56.367950
Toy,2021-Nov-05 13:38:19.463311,-85.367950
Toy,2021-Nov-05 13:39:19.679344,-1133.367950
Toy,2021-Nov-05 13:40:21.656962,-1133.367950
Toy,2021-Nov-05 13:41:21.803145,-71.607950
Toy,2021-Nov-05 13:42:23.221569,-138.607950
Toy,2021-Nov-05 13:43:24.178003,-131.607950
Toy,2021-Nov-05 13:44:24.859017,-123.607950
Toy,2021-Nov-05 13:45:25.328072,-350.607950
Toy,2021-Nov-05 13:46:25.714212,-1145.357978
Toy,2021-Nov-05 13:47:27.610642,-36.472522
Toy,2021-Nov-05 13:48:28.246801,-36.472522
Toy,2021-Nov-05 13:49:29.183358,-336.587111
Toy,2021-Nov-05 13:50:30.206939,-1218.335191
Toy,2021-Nov-05 13:51:32.627265,-1218.335191
Toy,2021-Nov-05 13:52:33.726708,-1218.335191
Toy,2021-Nov-05 13:53:36.184675,-1218.335191
Toy,2021-Nov-05 13:54:38.887246,-51.335191
Toy,2021-Nov-05 13:55:44.430216,-55.335191
Toy,2021-Nov-05 13:56:46.193268,-51.335191
Toy,2021-Nov-05 13:57:48.993261,-63.335191
Toy,2021-Nov-05 13:58:50.410395,-1218.335191
Toy,2021-Nov-05 13:59:50.991524,-127.335191
Toy,2021-Nov-05 14:00:51.945999,-1218.335191
Toy,2021-Nov-05 14:01:58.926398,-1218.335191
Toy,2021-Nov-05 14:03:00.013552,-1218.335191
Toy,2021-Nov-05 14:04:00.321342,-1218.335191
Toy,2021-Nov-05 14:05:01.623569,-1218.335191
Toy,2021-Nov-05 14:06:02.990870,-132.335191
Toy,2021-Nov-05 14:07:04.525399,-155.335191
Toy,2021-Nov-05 14:08:06.238033,-276.335191
Toy,2021-Nov-05 14:09:09.531158,-276.335191
Toy,2021-Nov-05 14:10:10.866748,-98.335191
Toy,2021-Nov-05 14:11:12.989516,-99.335191
Toy,2021-Nov-05 14:12:13.626585,-105.335191
Toy,2021-Nov-05 14:13:15.352051,-103.335191
Toy,2021-Nov-05 14:14:16.658637,-131.335191
Toy,2021-Nov-05 14:15:18.444958,-276.335191
Toy,2021-Nov-05 14:16:19.721242,-276.335191
Toy,2021-Nov-05 14:17:20.749465,-156.335191
Toy,2021-Nov-05 14:18:21.023561,-135.335191
Toy,2021-Nov-05 14:19:24.610808,-138.335191
Toy,2021-Nov-05 14:20:27.452751,-276.335191
Toy,2021-Nov-05 14:21:27.845998,-123.335191
Toy,2021-Nov-05 14:22:31.250646,-140.335191
Toy,2021-Nov-05 14:23:31.687348,-276.335191
Toy,2021-Nov-05 14:24:34.188453,-127.335191
Toy,2021-Nov-05 14:25:35.880236,-276.335191
Toy,2021-Nov-05 14:26:36.722895,-276.335191
Toy,2021-Nov-05 14:27:38.863282,-276.335191
Toy,2021-Nov-05 14:28:40.102333,-118.335191
Toy,2021-Nov-05 14:29:41.017314,-141.335191
Toy,2021-Nov-05 14:30:42.939398,-276.335191
Toy,2021-Nov-05 14:31:45.979081,-149.335191
Toy,2021-Nov-05 14:32:47.692088,-276.335191
Toy,2021-Nov-05 14:33:49.608069,-143.335191
Toy,2021-Nov-05 14:34:53.429918,-276.335191
Toy,2021-Nov-05 14:35:55.066689,-276.335191
Toy,2021-Nov-05 14:36:57.932514,-276.335191
Toy,2021-Nov-05 14:37:59.449820,-146.335191
Toy,2021-Nov-05 14:39:02.516728,-276.335191
Toy,2021-Nov-05 14:40:04.678991,-140.335191
Toy,2021-Nov-05 14:41:07.092006,-276.335191
Toy,2021-Nov-05 14:42:08.355460,-132.335191
Toy,2021-Nov-05 14:43:09.408338,-138.335191
Toy,2021-Nov-05 14:44:11.825890,-132.335191
Toy,2021-Nov-05 14:45:13.632014,-141.335191
Toy,2021-Nov-05 14:46:14.448290,-147.335191
Toy,2021-Nov-05 14:47:15.103504,-112.335191
Toy,2021-Nov-05 14:48:15.669068,-128.335191
Toy,2021-Nov-05 14:49:16.801929,-126.335191
Toy,2021-Nov-05 14:50:18.362801,-120.335191
Toy,2021-Nov-05 14:51:19.377925,-114.335191
Toy,2021-Nov-05 14:52:19.819979,-129.335191
Toy,2021-Nov-05 14:53:23.107494,-119.335191
Toy,2021-Nov-05 14:54:24.326344,-126.335191
Toy,2021-Nov-05 14:55:25.183222,-122.335191
Toy,2021-Nov-05 14:56:25.824105,-114.335191
Toy,2021-Nov-05 14:57:26.783520,-131.335191
Toy,2021-Nov-05 14:58:27.288486,-102.335191
Toy,2021-Nov-05 14:59:28.141067,-105.335191
Toy,2021-Nov-05 15:00:31.063138,-102.335191
Toy,2021-Nov-05 15:01:32.242917,-95.335191
Toy,2021-Nov-05 15:02:35.571773,-96.335191
Toy,2021-Nov-05 15:03:37.825689,-75.335191
Toy,2021-Nov-05 15:04:38.433542,-78.335191
Toy,2021-Nov-05 15:05:40.744556,-78.335191
Toy,2021-Nov-05 15:06:43.692122,-105.335191
Toy,2021-Nov-05 15:07:44.901416,-98.335191
Toy,2021-Nov-05 15:08:45.563492,-276.335191
Toy,2021-Nov-05 15:09:48.206842,-112.335191
Toy,2021-Nov-05 15:10:51.044155,-116.335191
Toy,2021-Nov-05 15:11:53.678823,-105.335191
Toy,2021-Nov-05 15:12:58.586765,-114.335191
Toy,2021-Nov-05 15:13:59.701171,-110.335191
Toy,2021-Nov-05 15:15:00.678231,-98.335191
Toy,2021-Nov-05 15:16:03.136316,-131.335191
Toy,2021-Nov-05 15:17:04.840774,-131.335191
Toy,2021-Nov-05 15:18:06.135636,-95.335191
Toy,2021-Nov-05 15:19:08.714360,-131.335191
Toy,2021-Nov-05 15:20:10.468879,-93.335191
Toy,2021-Nov-05 15:21:14.798119,-131.335191
Toy,2021-Nov-05 15:22:16.469447,-92.335191
Toy,2021-Nov-05 15:23:18.767464,-131.335191
